AccountKey,AccountID,CustomerKey,ProductKey,AccountCategory,OpenDate,Status,OpeningBalance,HomeBranchKey
1,ACCT00000001,1,4,Deposit,2023-04-24,Active,594.51,22
2,ACCT00000002,1,7,Lending,2023-11-27,Active,14988.25,22
3,ACCT00000003,2,5,Deposit,2019-01-12,Active,20234.39,30
4,ACCT00000004,2,1,Deposit,2019-09-24,Active,20559.69,30
5,ACCT00000005,2,9,Lending,2019-01-03,Active,30468.84,30
6,ACCT00000006,3,1,Deposit,2019-04-17,Active,892.92,33
7,ACCT00000007,4,5,Deposit,2019-08-24,Active,17271.38,39
8,ACCT00000008,5,5,Deposit,2017-04-02,Active,3200.48,35
9,ACCT00000009,5,4,Deposit,2017-02-20,Active,4475.17,35
10,ACCT00000010,6,2,Deposit,2015-03-20,Active,12804.77,32
11,ACCT00000011,6,4,Deposit,2015-12-27,Active,36541.15,32
12,ACCT00000012,6,2,Deposit,2015-04-15,Active,1704.89,32
13,ACCT00000013,6,5,Deposit,2015-06-16,Active,8378.29,32
14,ACCT00000014,6,8,Lending,2015-11-23,Dormant,8724.89,32
15,ACCT00000015,7,4,Deposit,2016-09-23,Active,4607.53,16
16,ACCT00000016,7,2,Deposit,2016-11-16,Active,36478.12,16
17,ACCT00000017,7,5,Deposit,2016-10-10,Active,6063.26,16
18,ACCT00000018,8,3,Deposit,2018-12-11,Active,736.62,6
19,ACCT00000019,8,2,Deposit,2018-07-11,Active,3357.28,6
20,ACCT00000020,9,5,Deposit,2016-12-13,Active,10666.33,9
21,ACCT00000021,9,1,Deposit,2016-02-22,Active,46837.63,9
22,ACCT00000022,9,2,Deposit,2016-05-08,Active,1047.3,9
23,ACCT00000023,9,7,Lending,2016-07-16,Active,15803.13,9
24,ACCT00000024,10,2,Deposit,2022-09-21,Active,21559.38,17
25,ACCT00000025,10,2,Deposit,2022-11-01,Closed,26654.93,17
26,ACCT00000026,10,9,Lending,2022-02-15,Active,27087.94,17
27,ACCT00000027,11,4,Deposit,2024-03-01,Active,1334.06,35
28,ACCT00000028,11,4,Deposit,2024-09-24,Active,7287.06,35
29,ACCT00000029,11,2,Deposit,2024-04-23,Active,2694.4,35
30,ACCT00000030,12,1,Deposit,2019-03-17,Active,4202.92,24
31,ACCT00000031,13,4,Deposit,2023-11-01,Active,4735.36,16
32,ACCT00000032,13,5,Deposit,2023-11-19,Active,12689.08,16
33,ACCT00000033,14,4,Deposit,2016-10-14,Active,43630.39,38
34,ACCT00000034,15,4,Deposit,2018-02-15,Active,2990.29,1
35,ACCT00000035,15,5,Deposit,2018-01-18,Active,3276.16,1
36,ACCT00000036,15,6,Lending,2018-05-02,Active,14946.46,1
37,ACCT00000037,16,5,Deposit,2015-08-21,Active,709.32,3
