CustomerKey,CustomerID,FirstName,LastName,CustomerSegment,CreditScore,RiskBand,HomeBranchKey,RelationshipStartYear,State
1,CUST000001,Raj,Rodriguez,Mass Market,612,High,22,2023,CA
2,CUST000002,Priya,Garcia,Mass Market,712,Medium,30,2019,NY
3,CUST000003,Liam,Garcia,Mass Market,709,Medium,33,2019,CA
4,CUST000004,Lucas,Nguyen,Affluent,785,Low,39,2019,FL
5,CUST000005,Jose,Garcia,Mass Market,649,High,35,2017,AZ
6,CUST000006,Emma,Hernandez,Mass Market,653,High,32,2015,NY
7,CUST000007,Jose,Martinez,Mass Market,507,High,16,2016,NY
8,CUST000008,Noah,Williams,Mass Market,756,Low,6,2018,MA
9,CUST000009,Raj,Kim,Mass Market,660,Medium,9,2016,TX
10,CUST000010,Olivia,Garcia,Mass Market,638,High,17,2022,AZ
11,CUST000011,Priya,Miller,Mass Market,645,High,35,2024,FL
12,CUST000012,Wei,Ali,Mass Market,731,Medium,24,2019,MA
13,CUST000013,Ahmed,Brown,Mass Market,698,Medium,16,2023,FL
14,CUST000014,Maria,Smith,Mass Market,653,High,38,2016,AZ
15,CUST000015,Noah,Davis,Mass Market,647,High,1,2018,CA
16,CUST000016,Linda,Williams,Mass Market,756,Low,3,2015,WA
17,CUST000017,Liam,Davis,Affluent,694,Medium,18,2016,MA
18,CUST000018,Olivia,Jones,Mass Market,678,Medium,37,2018,NC
19,CUST000019,Linda,Patel,Mass Market,673,Medium,27,2022,FL
20,CUST000020,Patricia,Ali,Affluent,757,Low,28,2016,WA
21,CUST000021,Priya,Anderson,Mass Market,850,Low,4,2021,CA
22,CUST000022,Wei,Cook,Mass Market,773,Low,22,2015,CA
23,CUST000023,Michael,Miller,Small Business,722,Medium,35,2018,MA
24,CUST000024,Priya,Garcia,Small Business,758,Low,18,2017,MA
25,CUST000025,John,Anderson,Mass Market,619,High,36,2018,CA
26,CUST000026,Lucas,Kim,Mass Market,579,High,1,2015,CA
27,CUST000027,Jennifer,Wilson,Affluent,679,Medium,32,2018,MA
28,CUST000028,Wei,Johnson,Mass Market,628,High,11,2018,GA
29,CUST000029,Wei,Rodriguez,Mass Market,730,Medium,30,2015,IL
30,CUST000030,Ethan,Cook,Affluent,779,Low,36,2021,MA
31,CUST000031,Michael,Martinez,Affluent,730,Medium,14,2017,NY
32,CUST000032,Isabella,Kim,Mass Market,646,High,4,2024,WA
33,CUST000033,Mary,Chen,High Net Worth,727,Medium,31,2015,AZ
34,CUST000034,Jennifer,Johnson,Mass Market,766,Low,33,2023,CA
35,CUST000035,John,Singh,Mass Market,772,Low,5,2017,FL
36,CUST000036,Patricia,Chen,Affluent,699,Medium,16,2021,NC
37,CUST000037,Mary,Singh,High Net Worth,743,Low,6,2024,GA
38,CUST000038,Noah,Nguyen,Affluent,736,Medium,21,2024,IL
39,CUST000039,Ava,Murphy,Affluent,807,Low,21,2018,FL
